id,status,score_100,bucket,aggregate_view,prompt_version,model,occlusion_overlap_check,occlusion_findings,occlusion_affected_axes,input_path,rationale
1.1,scored,25.0,"[20,30)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\1.1.png,"image: 命中[20,30)档：属于简单的天气关怀工具页面，可见证据是已具备完整基础功能结构，展示了地区、气温、天气、感冒指数和关怀提示，带有操作按钮。未进更高档因为整体都是默认样式，没有专属视觉品牌系统，设计粗糙缺乏打磨，未达到产品级设计要求。"
1.2,scored,25.0,"[20,30)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\1.2.png,"image: 命中 [20,30) 档：属于简单天气工具类UI；可见证据是完整展示了城市天气状态、温度、出行提示与感冒指数信息，结构完整功能清晰；未进更高档因为整体风格朴素默认，无定制化品牌设计，视觉语言通用，不满足完整产品级UI的丰富度要求"
1.3,scored,25.0,"[20,30)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\1.3.png,"image: 命中 [20,30) 档：属于简单基础天气工具页面；可见证据是界面结构完整，包含城市温度、天气状态、健康提示与功能按钮，布局清晰可识别信息；未进更高档因为整体为基础默认设计，无专属品牌体系与精细化视觉打磨，仍不属于产品级成品设计。"
2.1,scored,25.0,"[20,30)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\2.1.png,"image: 命中 [20,30) 档：属于简单赛事训练倒计时工具类型；可见证据是完整展示了赛事名称、倒计时、开跑日期、今日训练计划和操作按钮，布局清晰，功能完整；未进更高档因为仅单功能卡片，无专属品牌设计体系，视觉风格偏基础通用，内容单薄无更深产品层级"
2.2,scored,45.0,"[40,50)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\2.2.png,"image: 命中 [40,50) 档，属于赛事主题倒计时工具；可见证据是清晰的信息层级，倒计时数字做了突出强调，配色连贯统一，有明确的行动按钮；未进入更高档位是因为仅保留核心倒计时功能，无额外模块，缺乏独特品牌设计和更丰富的产品深度。"
3.1,scored,55.0,"[50,60)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\3.1.png,"image: 命中 [50,60) 档：属于常规移动健康工具的睡眠数据展示界面；可见证据是排版层次清晰，文字大小层级区分明确，色彩统一协调，睡眠时长、进度、提醒设置等组件规整清晰，具备一定视觉打磨；未进更高档因为仅为通用常规数据组件，无独特定制化品牌设计体系，内容深度不足，不符合更高档的差异化设计要求。"
3.2,scored,45.0,"[40,50)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\3.2.png,"image: 命中[40,50)档：属于常见的普通设计健康工具UI；可见证据是本界面为睡眠监测组件，采用紫色统一主题，清晰划分睡眠数据与早睡提醒两个功能模块，信息完整可读，布局逻辑清晰；未进更高档是因为整体为通用模板设计，没有独特品牌识别体系与精细差异化材质细节，不符合更高档要求。"
4.1,scored,25.0,"[20,30)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\4.1.png,"image: 命中 [20,30) 档：属于轻量日程提醒工具，核心功能完整；可见证据是单张紫色主题卡片，包含会议名称、时间、倒计时提醒和操作按钮，结构清晰可读；未进更高档因为仅单一功能卡片，内容单薄，无完整品牌设计体系，未达到产品级打磨标准。"
4.2,scored,25.0,"[20,30)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\4.2.png,"image: 命中 [20,30) 档：属于基础日程提醒工具组件；可见证据是完整展示了提醒主题、会议时间、提前提醒规则和操作按钮，核心工作流完整；未进更高档因为整体视觉风格普通，无定制化品牌设计，以默认基础样式为主，缺少丰富产品层级与设计细节，达不到普通产品UI的完整标准。"
5.1,scored,25.0,"[20,30)",image,aesthetic-v4,doubao-seed-2-0-lite,always_on,[],[],C:\Users\afan\Desktop\Automation-screenshot\qianlong\5.1.png,"image: 命中 [20,30) 档：属于基础蓝牙耳机电量查看工具类UI；可见证据是界面完整展示耳机名称、左右耳电量进度、连接降噪状态，还有两个快捷功能按钮，布局清晰可用；未进入更高档位因为整体为通用默认风格，没有独特品牌设计体系，功能组件都非常基础，未达到产品级精细设计要求。"
